symbol,systematic_name,nutrient,rate,expression,bp,mf
OYE2,YHR179W,Glucose,0.05,-1.58,biological process unknown,NADPH dehydrogenase activity
CDC1,YDR182W,Glucose,0.05,-0.53,DNA repair*,molecular function unknown
NA,YNR014W,Glucose,0.05,-0.72,biological process unknown,molecular function unknown
PDC5,YLR134W,Glucose,0.05,-1.18,pyruvate metabolism*,pyruvate decarboxylase activity
PDC1,YLR044C,Glucose,0.05,-0.41,pyruvate metabolism*,pyruvate decarboxylase activity
VID24,YBR105C,Glucose,0.05,-0.35,vesicle-mediated transport*,molecular function unknown
YEH1,YLL012W,Glucose,0.05,-0.4,sterol metabolism,sterol esterase activity
NA,YJR015W,Glucose,0.05,-0.32,biological process unknown,molecular function unknown
PHO91,YNR013C,Glucose,0.05,-1.01,phosphate transport,phosphate transporter activity
MNN2,YBR015C,Glucose,0.05,-0.29,protein amino acid glycosylation,"alpha-1,2-mannosyltransferase activity"
GEF1,YJR040W,Glucose,0.05,-0.37,iron ion homeostasis*,voltage-gated chloride channel activity
JEM1,YJL073W,Glucose,0.05,-0.38,protein folding*,unfolded protein binding*
UBP12,YJL197W,Glucose,0.05,-0.24,biological process unknown,ubiquitin-specific protease activity
NA,YLR114C,Glucose,0.05,-0.32,biological process unknown,molecular function unknown
RBS1,YDL189W,Glucose,0.05,-0.26,galactose metabolism,molecular function unknown
NA,YBR206W,Glucose,0.05,-0.75,NA,NA
NDC1,YML031W,Glucose,0.05,-0.47,protein-nucleus import*,structural constituent of cytoskeleton
NA,YGL160W,Glucose,0.05,-0.25,biological process unknown,oxidoreductase activity
ROT2,YBR229C,Glucose,0.05,-0.24,cell wall biosynthesis (sensu Fungi),alpha-glucosidase activity
DNF1,YER166W,Glucose,0.05,-0.86,endocytosis*,phospholipid-translocating ATPase activity
NA,YPR091C,Glucose,0.05,-0.6,biological process unknown,molecular function unknown
PRP31,YGR091W,Glucose,0.05,-0.89,"nuclear mRNA splicing, via spliceosome","RNA splicing factor activity, transesterification mechanism"
PMT3,YOR321W,Glucose,0.05,-0.7,protein amino acid O-linked glycosylation,dolichyl-phosphate-mannose-protein mannosyltransferase activity
NA,YDR094W,Glucose,0.05,-0.67,NA,NA
